2025-10-30 15:32:27 | ERROR    | yfinance | Failed to get ticker 'GOOGL' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:32:27 | ERROR    | yfinance | $GOOGL: possibly delisted; no timezone found
2025-10-30 15:32:27 | WARNING  | data.data_collector | No data returned for GOOGL
2025-10-30 15:32:27 | WARNING  | __main__ |   Falling back to sample data for GOOGL (/Users/rajeevsingh/github/trading_app/examples/sample_data/GOOGL_5m.csv)
2025-10-30 15:32:27 | INFO     | utils.indicators | Added all technical indicators to DataFrame
2025-10-30 15:32:27 | INFO     | __main__ |   Loaded 240 bars for GOOGL
2025-10-30 15:32:27 | INFO     | __main__ | 
============================================================
2025-10-30 15:32:27 | INFO     | __main__ | Running Backtest Simulation
2025-10-30 15:32:27 | INFO     | __main__ | ============================================================
2025-10-30 15:32:27 | INFO     | __main__ | Simulating 240 time periods...
2025-10-30 15:32:28 | INFO     | strategy.strategy_engine | Generated BUY signal: Signal(BUY MSFT @ $177.28 - Above SMA | RSI 62.5 | Vol 1.65x | ATR 0.82)
2025-10-30 15:32:28 | INFO     | backtest.backtest_engine | OPEN MSFT: 5 shares @ $177.37 (SL: $175.51, TP: $179.94)
2025-10-30 15:32:56 | INFO     | monitoring.logger | ============================================================
2025-10-30 15:32:56 | INFO     | monitoring.logger | Trading System Logging Initialized
2025-10-30 15:32:56 | INFO     | monitoring.logger | Log Directory: /Users/rajeevsingh/github/trading_app/logs/2025-10-30
2025-10-30 15:32:56 | INFO     | monitoring.logger | Log Level: INFO
2025-10-30 15:32:56 | INFO     | monitoring.logger | ============================================================
2025-10-30 15:32:56 | INFO     | __main__ | ============================================================
2025-10-30 15:32:56 | INFO     | __main__ | Starting Simple Backtest Example
2025-10-30 15:32:56 | INFO     | __main__ | ============================================================
2025-10-30 15:32:56 | INFO     | __main__ | Testing strategy on: AAPL, MSFT, GOOGL
2025-10-30 15:32:56 | INFO     | __main__ | 
Collecting historical data...
2025-10-30 15:32:56 | INFO     | __main__ | Fetching AAPL...
2025-10-30 15:32:56 | INFO     | data.data_collector | Fetching AAPL data from 2025-10-23 to 2025-10-30 (interval: 5m, attempt: 1)
